Bytes,CDF
1177,0.01728594
1691.5,0.018142646
2206,0.018999352
2720.5,0.019856058
3235,0.020712764
3749.5,0.02156947
4264,0.022426176
6127.166667,0.023298198
7990.333333,0.024170219
9853.5,0.025042241
11716.66667,0.025914262
13579.83333,0.026786284
15443,0.027658305
17535.83333,0.033048588
19628.66667,0.03843887
21721.5,0.043829152
23814.33333,0.049219435
25907.16667,0.054609718
28000,0.06
29553.83333,0.067479915
31107.66667,0.07495983
32661.5,0.082439746
34215.33333,0.089919661
35769.16667,0.097399576
37323,0.104879491
39613.66667,0.143384289
41904.33333,0.181889086
44195,0.220393884
46485.66667,0.258898681
48776.33333,0.297403479
51067,0.335908276
55040.5,0.365836392
59014,0.395764508
62987.5,0.425692624
66961,0.455620739
70934.5,0.485548855
74908,0.515476971
77972.16667,0.53654658
81036.33333,0.557616188
84100.5,0.578685797
87164.66667,0.599755406
90228.83333,0.620825014
93293,0.641894623
101380.6667,0.663662235
109468.3333,0.685429847
117556,0.707197459
125643.6667,0.72896507
133731.3333,0.750732682
141819,0.772500294
157824.6667,0.791991325
173830.3333,0.811482356
189836,0.830973388
205841.6667,0.850464419
221847.3333,0.86995545
237853,0.889446481
293768.1667,0.900740112
349683.3333,0.912033742
405598.5,0.923327373
461513.6667,0.934621004
517428.8333,0.945914634
573344,0.957208265
823910.6667,0.958613454
1070000,0.960018644
1330000,0.961423833
1580000,0.962829022
1830000,0.964234212
2076744,0.965639401
2980000,0.966152468
3890000,0.966665534
4800000,0.967178601
5710000,0.967691667
6610000,0.968204733
7521945,0.9687178
10800000,0.969637682
14100000,0.970557564
17400000,0.971477446
20700000,0.972397328
24000000,0.97331721
27244995,0.974237092
39200000,0.975841382
51100000,0.977445672
63000000,0.979049962
74900000,0.980654251
86800000,0.982258541
98686787,0.983862831
119000000,0.986552359
140000000,0.989241887
161000000,0.991931416
182000000,0.994620944
202000000,0.997310472
223092956,1
