1,10000,3.57076e+008
1,1000,3.57397e+007
1,100,3.6061e+006
1,100000,3.57044e+009
1,200000,7.14084e+009
1,1,71408
1,10,392744
1,300000,1.07112e+010
1,600000,2.14224e+010
1,400000,1.42816e+010
1,500000,1.7852e+010
2,10,710288
2,100,6.54164e+006
2,1000,1.6493e+007
2,10000,1.57678e+007
2,100000,1.57451e+007
2,200000,1.57451e+007
2,300000,1.57451e+007
2,400000,1.57451e+007
3,1,71448
2,500000,1.57451e+007
2,600000,1.57451e+007
3,10,624602
2,1,1.96865e+007
3,100,5.77089e+006
3,1000,2.43116e+007
3,100000,1.80439e+007
3,10000,6.6726e+007
3,200000,1.71025e+007
3,300000,1.72308e+007
3,400000,1.57451e+007
3,500000,1.57451e+007
3,600000,1.57451e+007
